🧘‍♂️ Top 147 all days (stability 5-8, sorted by avgFirePeace desc):

110. 1985-02-20T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=8 | growth=6.75 | avgFirePeace=3.50
111. 1986-05-18T13:10 | meditate=true | fire=2 | peace=5 | stability=7 | growth=4.00 | avgFirePeace=3.50
112. 1986-05-21T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=7 | growth=5.40 | avgFirePeace=3.50
113. 1987-04-19T13:10 | meditate=true | fire=4 | peace=3 | stability=8 | growth=6.40 | avgFirePeace=3.50
114. 1987-05-18T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=7 | growth=5.40 | avgFirePeace=3.50
115. 1987-05-21T13:10 | meditate=true | fire=4 | peace=3 | stability=6 | growth=5.60 | avgFirePeace=3.50
116. 1987-06-16T13:10 | meditate=true | fire=4 | peace=3 | stability=8 | growth=8.00 | avgFirePeace=3.50
117. 1987-06-28T13:10 | meditate=true | fire=4 | peace=3 | stability=8 | growth=5.50 | avgFirePeace=3.50
118. 1987-08-21T13:10 | meditate=true | fire=3 | peace=4 | stability=6 | growth=4.40 | avgFirePeace=3.50
119. 1987-08-25T13:10 | meditate=true | fire=3 | peace=4 | stability=7 | growth=5.40 | avgFirePeace=3.50
120. 1987-08-27T13:10 | meditate=true | fire=4 | peace=3 | stability=7 | growth=7.70 | avgFirePeace=3.50
121. 1987-12-06T13:10 | meditate=false | fire=2.5 | peace=4.5 | stability=8 | growth=4.05 | avgFirePeace=3.50
122. 1984-03-10T13:10 | meditate=false | fire=3 | peace=3.5 | stability=8 | growth=4.80 | avgFirePeace=3.25
123. 1984-06-05T13:10 | meditate=false | fire=2.5 | peace=4 | stability=6 | growth=3.00 | avgFirePeace=3.25
124. 1984-06-08T13:10 | meditate=false | fire=2.5 | peace=4 | stability=8 | growth=4.50 | avgFirePeace=3.25
125. 1984-06-17T13:10 | meditate=true | fire=3.5 | peace=3 | stability=7 | growth=5.85 | avgFirePeace=3.25
126. 1985-02-15T13:10 | meditate=true | fire=3.5 | peace=3 | stability=8 | growth=4.95 | avgFirePeace=3.25
127. 1987-02-16T13:10 | meditate=true | fire=3.5 | peace=3 | stability=8 | growth=6.60 | avgFirePeace=3.25
128. 1987-03-24T13:10 | meditate=true | fire=3.5 | peace=3 | stability=7 | growth=7.15 | avgFirePeace=3.25
129. 1987-08-28T13:10 | meditate=true | fire=2 | peace=4.5 | stability=7 | growth=5.40 | avgFirePeace=3.25
130. 1984-03-04T13:10 | meditate=true | fire=3 | peace=3 | stability=7 | growth=5.20 | avgFirePeace=3.00
131. 1984-05-28T13:10 | meditate=true | fire=3 | peace=3 | stability=6 | growth=5.20 | avgFirePeace=3.00
132. 1984-06-07T13:10 | meditate=false | fire=3 | peace=3 | stability=6 | growth=4.40 | avgFirePeace=3.00
133. 1984-06-18T13:10 | meditate=true | fire=3 | peace=3 | stability=6 | growth=4.20 | avgFirePeace=3.00
134. 1984-07-02T13:10 | meditate=true | fire=3 | peace=3 | stability=7 | growth=6.00 | avgFirePeace=3.00
135. 1985-09-09T13:10 | meditate=true | fire=3 | peace=3 | stability=7 | growth=4.20 | avgFirePeace=3.00
136. 1986-02-14T13:10 | meditate=true | fire=3 | peace=3 | stability=7 | growth=5.20 | avgFirePeace=3.00
137. 1986-10-14T13:10 | meditate=true | fire=3 | peace=3 | stability=7 | growth=6.60 | avgFirePeace=3.00
138. 1986-11-28T13:10 | meditate=true | fire=2 | peace=4 | stability=7 | growth=5.50 | avgFirePeace=3.00
139. 1987-05-17T13:10 | meditate=true | fire=2.5 | peace=3.5 | stability=7 | growth=4.95 | avgFirePeace=3.00
140. 1985-09-04T13:10 | meditate=true | fire=2.5 | peace=3 | stability=6 | growth=4.55 | avgFirePeace=2.75
141. 1985-12-05T13:10 | meditate=true | fire=2 | peace=3.5 | stability=7 | growth=4.40 | avgFirePeace=2.75
142. 1987-03-06T13:10 | meditate=true | fire=2 | peace=3.5 | stability=8 | growth=5.00 | avgFirePeace=2.75
143. 1984-02-22T13:10 | meditate=true | fire=2 | peace=3 | stability=7 | growth=8.00 | avgFirePeace=2.50
144. 1985-09-05T13:10 | meditate=true | fire=2 | peace=3 | stability=7 | growth=4.80 | avgFirePeace=2.50
145. 1986-05-17T13:10 | meditate=true | fire=2 | peace=3 | stability=7 | growth=4.80 | avgFirePeace=2.50
146. 1987-03-04T13:10 | meditate=true | fire=2 | peace=3 | stability=6 | growth=4.80 | avgFirePeace=2.50
147. 1987-11-27T13:10 | meditate=true | fire=2 | peace=3 | stability=7 | growth=6.00 | avgFirePeace=2.50
