🧘‍♂️ Top 2557 all days (stability 2-9, sorted by fire desc):

78. 1991-10-31T13:10 | meditate=false | fire=6 | peace=3.5 | stability=9 | growth=8.80 | avgFirePeace=4.75
79. 1991-11-09T13:10 | meditate=false | fire=6 | peace=2.5 | stability=9 | growth=9.80 | avgFirePeace=4.25
80. 1991-11-11T13:10 | meditate=false | fire=6 | peace=3 | stability=8 | growth=9.10 | avgFirePeace=4.50
81. 1991-12-14T13:10 | meditate=false | fire=6 | peace=5 | stability=9 | growth=7.70 | avgFirePeace=5.50
82. 1991-12-20T13:10 | meditate=false | fire=6 | peace=4 | stability=7 | growth=8.40 | avgFirePeace=5.00
83. 1991-12-23T13:10 | meditate=false | fire=6 | peace=2 | stability=9 | growth=10.50 | avgFirePeace=4.00
84. 1991-12-25T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=8.40 | avgFirePeace=5.25
85. 1991-12-26T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=6.60 | avgFirePeace=6.25
86. 1991-12-27T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=7.80 | avgFirePeace=5.25
87. 1992-02-03T13:10 | meditate=true | fire=6 | peace=1.5 | stability=6 | growth=9.00 | avgFirePeace=3.75
88. 1992-03-10T13:10 | meditate=false | fire=6 | peace=7.5 | stability=9 | growth=5.60 | avgFirePeace=6.75
89. 1992-03-13T13:10 | meditate=true | fire=6 | peace=6.5 | stability=6 | growth=7.00 | avgFirePeace=6.25
90. 1992-03-14T13:10 | meditate=true | fire=6 | peace=9.5 | stability=6 | growth=5.60 | avgFirePeace=7.75
91. 1992-04-21T13:10 | meditate=true | fire=6 | peace=1.5 | stability=7 | growth=11.20 | avgFirePeace=3.75
92. 1992-06-27T13:10 | meditate=true | fire=6 | peace=0 | stability=8 | growth=9.60 | avgFirePeace=3.00
93. 1992-09-08T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.00 | avgFirePeace=6.75
94. 1992-09-14T13:10 | meditate=false | fire=6 | peace=1.5 | stability=9 | growth=10.40 | avgFirePeace=3.75
